OBJECTID,SUBJ_STATE,FEATURE,Shape__Area,Shape__Length
688,OREGON,2,4831.60452270508,272.664017385427
689,OREGON,2,2150.24887084961,176.615442637869
690,OREGON,2,6971.11352539063,340.212250775081
691,OREGON,2,10158.2676696777,462.24077596206
692,OREGON,2,7032.65948486328,340.805341831939
693,OREGON,2,40336.5526428223,821.710057087178
694,OREGON,2,5334.32104492188,354.20410271748
695,OREGON,2,4171.73641967773,284.510533047689
696,OREGON,2,9063.19381713867,402.58306223298
697,OREGON,2,9844.29946899414,400.839740474578
698,OREGON,2,2390.38497924805,204.230219820932
699,OREGON,2,5183.37225341797,275.629752477662
700,OREGON,2,7939.94903564453,447.015304186401
701,OREGON,2,4918.46984863281,321.92895929527
702,OREGON,2,4378.03411865234,258.858523938282
703,OREGON,2,11230.4747314453,400.536499256312
704,OREGON,2,38329.4349060059,770.016698345764
705,OREGON,2,2501.96795654297,217.005656837294
706,OREGON,2,5951.69268798828,323.318861742846
707,OREGON,2,3362.88891601563,224.267206692459
708,OREGON,2,2433.25845336914,194.126150284187
709,OREGON,2,2847.19696044922,247.389231921865
710,OREGON,2,4180.52536010742,269.169851183543
711,OREGON,2,47824.5535888672,1252.28872537288
712,OREGON,2,8110.20758056641,329.049167817127
713,OREGON,2,3094.08651733398,210.349442111843
714,OREGON,2,2770.95156860352,194.916149034133
715,OREGON,2,2672.64154052734,198.12150748176
716,OREGON,2,2175.22274780273,183.69346654576
717,OREGON,2,2880.09603881836,205.704282445076
718,OREGON,2,5557.18249511719,334.820613904285
719,OREGON,2,3365.74142456055,216.445496232517
720,OREGON,2,49938.6098632813,1314.70825879622
721,OREGON,2,3154.10797119141,212.843461501806
722,OREGON,2,3823.81350708008,239.576402323141
723,OREGON,2,2487.18655395508,190.979974540329
724,OREGON,2,12072.6577758789,451.090345708156
725,OREGON,2,14467.6007995605,474.936967820795
726,OREGON,2,4733.74377441406,254.567197904523
727,OREGON,2,7760.35974121094,381.169253907058
728,OREGON,2,6295.55569458008,290.943481344051
729,OREGON,2,6494.0993347168,297.821672249951
730,OREGON,2,1557.32858276367,164.907187154691
731,OREGON,2,3248.89749145508,223.313544857323
732,OREGON,2,13545.2851867676,568.460133603686
733,OREGON,2,659.855377197266,99.0352966117606
734,OREGON,2,1192.64352416992,127.596195135866
735,OREGON,2,2937.81259155273,202.09534117936
736,OREGON,1,117379.865966797,1563.87043134346
737,OREGON,1,92881.7097167969,1141.70039345485
738,OREGON,1,287784.054199219,2567.05299420676
739,OREGON,2,3491.30087280273,231.793173155454
740,OREGON,2,8579.56155395508,355.460782679255
741,OREGON,2,6232.51934814453,299.567453170707
742,OREGON,2,3505.48004150391,253.177401528711
743,OREGON,2,6548.54052734375,314.196765570279
744,OREGON,1,29668.8969726563,631.116356758808
745,OREGON,2,4671.04116821289,283.112546587613
746,OREGON,2,13660.9853820801,524.906354479827
747,OREGON,2,7311.23544311523,327.138734088387
748,OREGON,2,1832.20935058594,159.673913899221
749,OREGON,2,3150.39712524414,215.894413908475
750,OREGON,2,2338.53314208984,179.462919158091
751,OREGON,2,2925.17074584961,224.026122785268
752,OREGON,2,2206.53991699219,170.671898469007
753,OREGON,2,3527.96371459961,226.382033797637
754,OREGON,2,12410.704498291,457.456786553354
755,OREGON,2,11209.9562988281,414.357655417832
756,OREGON,2,2922.53594970703,198.269404257781
757,OREGON,2,4146.98013305664,237.476228716884
758,OREGON,2,6103.79156494141,302.583574728655
759,OREGON,2,5262.05648803711,274.65878975984
760,OREGON,2,40030.1357116699,942.109578836684
761,OREGON,2,6111.95220947266,302.020667990567
762,OREGON,2,1736.38983154297,159.848849819124
763,OREGON,2,3571.94668579102,246.404938696248
764,OREGON,2,13505.7112731934,491.243493190994
765,OREGON,2,3584.49209594727,223.807846203013
766,OREGON,2,2665.86602783203,191.71244003421
767,OREGON,2,4873.29238891602,257.967461369843
768,OREGON,2,17870.4434814453,694.819785674315
769,OREGON,2,3406.37756347656,215.442231853976
770,OREGON,2,22403.0932312012,724.655556109891
771,OREGON,2,5783.11483764648,325.369814253149
772,OREGON,2,2340.26132202148,190.759243159524
773,OREGON,2,26549.0511779785,644.238307175312
774,OREGON,2,97028.8508605957,1439.05075671507
775,OREGON,2,7389.33615112305,329.743446108169
776,OREGON,2,5088.59967041016,317.892819676618
777,OREGON,2,1798.03601074219,160.234652687511
778,OREGON,2,5088.33312988281,265.494586202722
779,OREGON,2,21748.7221374512,900.261468683531
780,OREGON,2,19130.3031311035,618.67446936943
781,OREGON,2,2909.45361328125,225.771440894123
782,OREGON,2,2078.38150024414,170.1272207027
783,OREGON,2,2762.86697387695,195.524119079428
784,OREGON,2,2051.39404296875,167.875197402443
785,OREGON,2,3686.64129638672,224.603973911757
786,OREGON,2,2523.2233581543,184.103049548587
787,OREGON,2,2342.48443603516,182.237087267571
788,OREGON,1,4335.92041015625,243.185516204602
789,OREGON,2,3508.40078735352,252.064011478331
790,OREGON,2,2256.14926147461,192.435574564076
791,OREGON,2,5517.11804199219,328.786372533217
792,OREGON,2,1889.17254638672,161.502838932614
793,OREGON,2,4869.14144897461,300.483960705665
794,OREGON,2,4595.15600585938,259.913998038844
795,OREGON,2,4019.09268188477,240.877127715158
796,OREGON,2,54234.9922790527,1247.32567423973
797,OREGON,2,15057.7227478027,640.90080349025
798,OREGON,2,3133.29705810547,214.360248779389
799,OREGON,2,35260.1272583008,913.370565034799
800,OREGON,2,3275.56939697266,229.209918445413
801,OREGON,2,1969.71655273438,168.983582822869
802,OREGON,2,3887.72610473633,244.131414978391
803,OREGON,2,1618.54232788086,151.606486908369
804,OREGON,2,2242.42193603516,201.344558085287
805,OREGON,2,1958.193359375,182.573097571841
806,OREGON,2,3885.35375976563,255.520554820125
807,OREGON,2,27151.4235534668,796.426654802225
808,OREGON,2,2846.67337036133,206.927700810059
809,OREGON,2,3571.36517333984,241.157804242438
810,OREGON,2,2756.12698364258,194.778170944721
811,OREGON,2,3575.33193969727,236.718779390463
812,OREGON,2,8515.15383911133,372.435154036416
813,OREGON,2,4505.43649291992,259.875291757372
814,OREGON,2,3375.02648925781,234.620306540993
815,OREGON,2,1690.20812988281,153.472890726763
816,OREGON,2,1205.7585144043,135.305184490617
817,OREGON,2,1367.23529052734,137.835810313851
818,OREGON,2,2013.17611694336,172.327336538802
819,OREGON,2,8235.75231933594,388.784169969956
820,OREGON,2,3837.97348022461,241.202577690851
821,OREGON,2,3617.26181030273,230.752734462032
822,OREGON,2,22806.9955444336,628.049644520595
823,OREGON,2,1953.97576904297,177.502050085416
824,OREGON,2,4736.89685058594,285.733413283247
825,OREGON,2,4209.38018798828,284.424704672521
826,OREGON,2,7799.71975708008,443.713505514603
827,OREGON,2,10184.3377990723,497.573544915802
828,OREGON,2,10997.1342468262,430.278423051689
829,OREGON,2,2836.76611328125,227.471118186475
830,OREGON,2,3875.66256713867,257.152700800077
831,OREGON,2,9446.93685913086,520.305163217938
832,OREGON,2,3638.81021118164,247.200223208367
833,OREGON,2,14210.7304382324,635.99875564995
834,OREGON,2,5323.64147949219,319.45761229818
835,OREGON,2,11513.9376220703,513.073010576662
